title|content
부산환경공단 전국 환경공과 탄소중립 협업방안 모색|'지난 일 공단 본부에서 개 환경공 미래혁신협의회 회의 열어탄소중립 실천 자원순환 증대 등을 위한 상호 협력방안과 미래 비전 논의부산환경공단이사장 안종일이 지난 일 전국 환경공 미래혁신협의회 회의를 개최해 탄소중립 등 상호 협업방안을 논의했다고 밝혔다 미래혁신협의회는 부산환경공단을 비롯한 서울물재생시설공단 인천환경공단 대전광역시시설관리공단 광주환경공단 대구공공시설관리공단 등 전국 환경공이 모여 지난 해 월 발족한 것으로 개 공은 업무협약 체결을 통해 공공 환경서비스 개선과 환경산업 및 정책 지원 기술개발 인물적 자원 교류 등을 약속했다 



지난 일 부산환경공단에서 열린 환경공 미래혁신협의회 회의에 참석한 각 기관 대표들이 기념시진을 촬영하고  왼쪽부터 서울물재생시설공단 권완택 이사장 대전광역시시설관리공단 이상태 이사장 인천환경공단 최계운 이사장 부산환경공단 안종일 이사장 대구공공시설관리공단 문기봉  이사장 광주환경공단 김병수 이사장 부산환경공단 제공부산환경공단이 주관한 이번 회의에는 각 기관의 대표와 실무진 여 명이 참석하여 탄소중립 실천 자원순환 증대 등 기후위기와 환경변화 대응을 위한 협력방안을 모색하고 환경공이 나아가야 할 미래 비전에 대해 토의했다 부산환경공단과 인천환경공단이 기관의 중장기 비전과 탄소중립 로드맵 역점사업 등에 대해 발표했으며 이후에도 정례회의를 이어갈 계획이다 부산환경공단 안종일 이사장은 필환경의 시대 환경공의 역할과 책임이 어느 때보다 크다고 생각한다며 협업을 통한 시너지 창출에 부산환경공단이 구심점이 되어 지속가능한 경영 구현에 더욱 매진하겠다고 전했다'
한국환경공단에 국내 번째 기후위기시계 설치|'일 인천 본사서 제막식 열려당면한 기후위기 심각성 알리기남은시간 년일 기후행동 촉구



안병옥왼쪽에서 다섯 번째 한국환경공단 이사장과 홍성환왼쪽 네 번째 공단 감사 이재학왼쪽 여섯 번째 공단 노조 위원장 등 공단 주요 임원진이 일 인천시 한국환경공단에서 열린 기후위시계 제막식에서 기념촬영을 하고  한국환경공단 제공국내 번째 기후위기시계 가 인천시 서구 한국환경공단 본사에 설치됐다일 열린 기후위기시계 제막식에는 안병옥 이사장과 홍성환 감사를 비롯해 환경공단의 주요 임원진이 참석했다기후위기시계는 지구 온도가 산업화 이전과 견줘 도 오르는 시점까지 얼마나 남았는지를 표시한다 지금 시계에 나타내는 숫자는 년일일 기준 도는 기후변화의 여파로부터 인류의 생존을 담보할 수  마지노선으로 여겨진다 년 체결된 파리기후협정에서 당사국들은 전 세계는 힘을 합쳐 산업화 이전 대비 지구 평균 기온 상승치를 도 이내로 제한하자고 합의했다환경공단이 기후위기시계를 설치한 것은 그 자체로도 의미있다 공단은 국가 차원의 탄소중립을 선도하는 환경전문기관을 추구하면서 온실가스 감축 사업과 각 지자체의 온실가스 저감 정책을 지원하고 환경공단 관계자는 당면한 기후위기의 심각성을 알리고 탄소중립 실현을 위해 공단 직원 뿐 아니라 국민의 관심과 실천을 이끌어내고자 이번에 기후위기시계를 설치하게 됐다고 설명했다기후위기시계는 미국 환경운동가이자 예술가인 간 골란 과 앤드류 보이드 가 세운 글로벌 기후행동단체 클라이밋 클락이 펼치는 글로벌 캠페인이다 주요국의 잘 알려진 장소나 건물에 시계 조형물을 설치하고 도 마지노선까지 남은 시간을 보여주고  현재 인류가 기후 비상의 시기를 살고  환기하고 정부와  개인의 인식 전환을 자극하려는 취지에서다
